anio,alcaldia_norm,total_carpetas,robos_territoriales,fraude,delitos_unicos,categorias_unicas,pct_latitud_nula,pct_longitud_nula,ROBO_A_CASA_HABITACION,ROBO_A_NEGOCIO,ROBO_A_PASAJERO,ROBO_A_REPARTIDOR,ROBO_A_TRANSEUNTE,ROBO_DE_ACCESORIOS_AUTO,ROBO_DE_VEHICULO,ROBO_A_TRANSPORTISTA
2022.0,CDMX INDETERMINADA,1049,266.0,133.0,197,0,600.0,600.0,0.0,1.0,225.0,4.0,26.0,3.0,7.0,0.0
2022.0,COYOACAN,17001,4633.0,1388.0,570,0,5.0066,5.0066,248.0,1145.0,328.0,43.0,825.0,772.0,1272.0,0.0
2022.0,CUAJIMALPA DE MORELOS,3990,683.0,412.0,392,0,8.8275,8.8275,67.0,238.0,24.0,4.0,80.0,49.0,221.0,0.0
2022.0,CUAUHTEMOC,35903,9001.0,5053.0,744,0,50.9786,50.9786,255.0,1830.0,919.0,65.0,1923.0,2299.0,1710.0,0.0
2022.0,GUSTAVO A MADERO,24182,5735.0,1698.0,684,0,14.4915,14.4915,336.0,1504.0,327.0,149.0,1271.0,824.0,1316.0,8.0
2022.0,IZTACALCO,11205,2257.0,671.0,520,0,14.441600000000001,14.441600000000001,140.0,295.0,217.0,82.0,659.0,334.0,530.0,0.0
2022.0,IZTAPALAPA,33719,8059.0,1910.0,731,0,22.5714,22.5714,592.0,1541.0,617.0,449.0,2325.0,706.0,1825.0,4.0
2022.0,LA MAGDALENA CONTRERAS,4693,709.0,345.0,364,0,4.7382,4.7382,114.0,95.0,33.0,25.0,155.0,84.0,203.0,0.0
2022.0,MIGUEL HIDALGO,13929,3899.0,1881.0,586,0,7.6693,7.6693,140.0,852.0,231.0,52.0,932.0,633.0,1059.0,0.0
2022.0,MILPA ALTA,2698,227.0,181.0,315,0,18.845499999999998,18.845499999999998,58.0,26.0,10.0,4.0,61.0,15.0,53.0,0.0
2022.0,TLAHUAC,7766,1253.0,417.0,495,0,16.8547,16.8547,144.0,142.0,140.0,38.0,298.0,96.0,395.0,0.0
2022.0,TLALPAN,14593,3585.0,1232.0,609,0,9.7106,9.7106,289.0,800.0,244.0,59.0,591.0,370.0,1231.0,1.0
2022.0,VENUSTIANO CARRANZA,13271,3489.0,861.0,582,0,10.51,10.51,160.0,614.0,238.0,82.0,1165.0,610.0,618.0,2.0
2022.0,XOCHIMILCO,8044,1537.0,537.0,504,0,10.9174,10.9174,201.0,159.0,140.0,50.0,362.0,124.0,501.0,0.0
2022.0,,2743,642.0,137.0,380,0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023.0,ALVARO OBREGON,15689,3650.0,1354.0,391,0,5.8994,5.8994,201.0,1034.0,130.0,77.0,927.0,380.0,901.0,0.0
2023.0,AZCAPOTZALCO,10170,2847.0,952.0,342,0,0.6373,0.6373,148.0,940.0,71.0,43.0,527.0,463.0,652.0,3.0
2023.0,BENITO JUAREZ,16893,5688.0,2562.0,374,0,0.9757,0.9757,159.0,1387.0,242.0,40.0,697.0,1796.0,1367.0,0.0
2023.0,CDMX INDETERMINADA,7233,899.0,1177.0,254,0,300.0,300.0,2.0,6.0,714.0,2.0,112.0,4.0,59.0,0.0
2023.0,COYOACAN,16389,4607.0,1545.0,367,0,0.8969,0.8969,270.0,1265.0,273.0,40.0,697.0,863.0,1199.0,0.0
2023.0,CUAJIMALPA DE MORELOS,4311,690.0,464.0,257,0,4.0342,4.0342,63.0,275.0,17.0,2.0,84.0,99.0,150.0,0.0
2023.0,CUAUHTEMOC,33031,9680.0,4182.0,425,0,6.3565000000000005,6.3565000000000005,338.0,1932.0,818.0,45.0,1951.0,2970.0,1626.0,0.0
2023.0,GUSTAVO A MADERO,23433,5482.0,1845.0,431,0,5.2503,5.2503,368.0,1627.0,251.0,101.0,1025.0,925.0,1181.0,4.0
2023.0,IZTACALCO,10482,2071.0,786.0,326,0,3.1147,3.1147,129.0,240.0,171.0,69.0,479.0,449.0,534.0,0.0
2023.0,IZTAPALAPA,32910,6945.0,2201.0,451,0,4.051,4.051,533.0,1436.0,425.0,238.0,1914.0,817.0,1582.0,0.0
2023.0,LA MAGDALENA CONTRERAS,4870,809.0,343.0,284,0,1.2191,1.2191,96.0,132.0,26.0,23.0,203.0,110.0,219.0,0.0
2023.0,MIGUEL HIDALGO,13787,3999.0,1784.0,376,0,1.0225,1.0225,157.0,981.0,196.0,33.0,744.0,779.0,1109.0,0.0
2023.0,MILPA ALTA,2414,230.0,135.0,239,0,2.4697,2.4697,83.0,22.0,6.0,2.0,40.0,13.0,64.0,0.0
2023.0,TLAHUAC,7761,1190.0,462.0,320,0,2.5404,2.5404,161.0,204.0,90.0,21.0,280.0,97.0,337.0,0.0
2023.0,TLALPAN,14677,3573.0,1387.0,372,0,1.2934,1.2934,317.0,937.0,225.0,21.0,464.0,452.0,1157.0,0.0
2023.0,VENUSTIANO CARRANZA,13178,3285.0,924.0,362,0,2.9924999999999997,2.9924999999999997,196.0,517.0,179.0,54.0,1005.0,738.0,594.0,2.0
2023.0,XOCHIMILCO,7964,1279.0,570.0,331,0,4.0902,4.0902,203.0,182.0,99.0,15.0,260.0,102.0,418.0,0.0
2023.0,,3274,671.0,100.0,260,0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,ALVARO OBREGON,13688,3108.0,1152.0,331,0,2.2414,2.2414,160.0,759.0,106.0,60.0,964.0,363.0,696.0,0.0
2024.0,AZCAPOTZALCO,9032,2480.0,645.0,309,0,0.32789999999999997,0.32789999999999997,121.0,821.0,42.0,36.0,482.0,445.0,531.0,2.0
2024.0,BENITO JUAREZ,15777,5236.0,2293.0,326,0,0.7565,0.7565,172.0,1232.0,257.0,27.0,631.0,1606.0,1311.0,0.0
2024.0,CDMX INDETERMINADA,7764,650.0,793.0,247,0,200.0,200.0,1.0,14.0,377.0,5.0,114.0,13.0,126.0,0.0
2024.0,COYOACAN,14986,4278.0,1192.0,342,0,1.0961,1.0961,279.0,1098.0,206.0,35.0,709.0,940.0,1011.0,0.0
2024.0,CUAJIMALPA DE MORELOS,3698,763.0,303.0,259,0,1.982,1.982,73.0,296.0,15.0,2.0,91.0,151.0,135.0,0.0
2024.0,CUAUHTEMOC,29832,9069.0,3167.0,398,0,2.6566,2.6566,333.0,1733.0,913.0,46.0,1934.0,2574.0,1536.0,0.0
2024.0,GUSTAVO A MADERO,20794,4641.0,1242.0,372,0,2.694,2.694,321.0,1226.0,224.0,76.0,820.0,946.0,1027.0,1.0
2024.0,IZTACALCO,9892,2024.0,557.0,315,0,0.6033,0.6033,96.0,255.0,158.0,59.0,463.0,391.0,600.0,2.0
2024.0,IZTAPALAPA,28796,5802.0,1529.0,393,0,2.8673,2.8673,429.0,1085.0,382.0,185.0,1833.0,536.0,1352.0,0.0
2024.0,LA MAGDALENA CONTRERAS,4458,733.0,289.0,241,0,0.9922,0.9922,116.0,101.0,38.0,19.0,156.0,85.0,218.0,0.0
2024.0,MIGUEL HIDALGO,12428,3520.0,1458.0,333,0,0.5777,0.5777,152.0,842.0,180.0,30.0,658.0,597.0,1061.0,0.0
2024.0,MILPA ALTA,2355,201.0,129.0,207,0,3.2604,3.2604,54.0,12.0,1.0,2.0,62.0,15.0,55.0,0.0
2024.0,TLAHUAC,6778,1040.0,364.0,296,0,2.6448,2.6448,139.0,167.0,69.0,20.0,335.0,73.0,237.0,0.0
2024.0,TLALPAN,14103,3345.0,1057.0,346,0,1.8689,1.8689,344.0,799.0,144.0,35.0,506.0,396.0,1121.0,0.0
2024.0,VENUSTIANO CARRANZA,12111,2700.0,716.0,334,0,0.8549,0.8549,145.0,427.0,168.0,28.0,800.0,665.0,466.0,1.0
2024.0,XOCHIMILCO,7065,1184.0,414.0,315,0,1.1722000000000001,1.1722000000000001,215.0,168.0,55.0,24.0,214.0,119.0,389.0,0.0
2024.0,,4145,808.0,75.0,254,0,199.88060000000002,199.88060000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.0,ALVARO OBREGON,785,235.0,50.0,97,0,0.5096,0.5096,7.0,62.0,11.0,6.0,58.0,45.0,46.0,0.0
2025.0,AZCAPOTZALCO,545,189.0,22.0,86,0,0.1835,0.1835,4.0,62.0,5.0,2.0,37.0,40.0,39.0,0.0
2025.0,BENITO JUAREZ,831,327.0,69.0,90,0,0.2407,0.2407,14.0,69.0,19.0,0.0,34.0,109.0,82.0,0.0
2025.0,CDMX INDETERMINADA,339,26.0,28.0,59,0,100.0,100.0,0.0,0.0,20.0,0.0,1.0,1.0,4.0,0.0
2025.0,COYOACAN,854,323.0,52.0,98,0,0.7026,0.7026,10.0,80.0,22.0,2.0,45.0,101.0,63.0,0.0
2025.0,CUAJIMALPA DE MORELOS,216,43.0,11.0,61,0,0.9259,0.9259,6.0,14.0,1.0,0.0,7.0,7.0,8.0,0.0
2025.0,CUAUHTEMOC,1790,612.0,111.0,114,0,0.5587,0.5587,25.0,110.0,58.0,2.0,127.0,163.0,127.0,0.0
2025.0,GUSTAVO A MADERO,1190,268.0,56.0,112,0,0.9244,0.9244,14.0,57.0,16.0,3.0,62.0,59.0,57.0,0.0
2025.0,IZTACALCO,637,131.0,32.0,89,0,0.157,0.157,11.0,23.0,9.0,2.0,29.0,27.0,30.0,0.0
2025.0,IZTAPALAPA,1718,415.0,61.0,119,0,1.397,1.397,26.0,67.0,26.0,15.0,147.0,61.0,73.0,0.0
2025.0,LA MAGDALENA CONTRERAS,229,41.0,20.0,58,0,0.0,0.0,5.0,6.0,1.0,1.0,9.0,2.0,17.0,0.0
2025.0,MIGUEL HIDALGO,684,238.0,53.0,88,0,0.1462,0.1462,12.0,58.0,9.0,3.0,45.0,35.0,76.0,0.0
2025.0,MILPA ALTA,107,14.0,6.0,37,0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0
2025.0,TLAHUAC,410,70.0,14.0,71,0,1.7073,1.7073,8.0,10.0,2.0,0.0,28.0,7.0,15.0,0.0
2025.0,TLALPAN,790,201.0,46.0,92,0,0.3797,0.3797,22.0,44.0,12.0,3.0,33.0,22.0,65.0,0.0
