alcaldia_id,tiempo_id,fuente_datos_id,total_delitos_fgj,total_robos_patrimoniales,robo_a_transeunte,robo_a_negocio,robo_a_casa_habitacion,robo_de_vehiculo,robo_de_accesorios_auto,robo_del_interior_de_vehiculo
6,201800,3,41285,16666,8931,3181,759,1242,1548,1005
7,201800,3,25471,9984,3503,2132,791,1998,890,670
8,201800,3,11068,4851,2558,568,324,611,329,461
9,201800,3,37671,15275,6796,3354,944,2633,665,883
10,201800,3,3642,887,221,164,211,140,66,85
11,201800,3,16740,7773,3476,1729,422,728,513,905
12,201800,3,1780,358,77,49,104,100,15,13
13,201800,3,5878,1708,682,305,213,358,81,69
14,201800,3,14521,4829,1133,1033,613,920,556,574
15,201800,3,15132,5227,2243,1138,368,625,428,425
16,201800,3,7625,2591,933,465,400,508,104,181
2,201900,3,18100,6455,2363,1526,547,832,466,721
1,201900,3,10941,4074,1350,1117,323,670,359,255
3,201900,3,20199,8338,2179,2124,582,935,1605,913
4,201900,3,15821,5422,1182,1453,504,932,650,701
5,201900,3,3779,929,143,391,149,80,36,130
6,201900,3,37547,12229,4985,3346,698,970,1436,794
7,201900,3,24436,8680,2958,2222,686,1686,749,379
8,201900,3,10201,3912,1902,585,258,583,400,184
9,201900,3,38447,13750,5562,3362,932,2307,820,767
10,201900,3,4047,978,216,186,223,175,89,89
11,201900,3,16167,6642,2760,1648,411,630,462,731
12,201900,3,1693,308,82,53,65,77,19,12
13,201900,3,6042,1652,698,202,192,381,118,61
14,201900,3,14565,4686,915,1244,590,985,410,542
15,201900,3,14580,4924,2264,1068,299,644,432,217
16,201900,3,7463,2201,763,374,275,495,146,148
2,202000,3,15073,4704,1605,1331,350,575,377,466
1,202000,3,10247,3669,1310,1035,200,582,341,201
3,202000,3,15315,5926,1240,1788,210,787,1424,477
4,202000,3,13634,4476,850,1354,324,742,578,628
5,202000,3,3416,761,146,331,104,78,31,71
6,202000,3,28615,8004,2407,2195,413,914,1546,529
7,202000,3,21791,6345,1661,2047,490,1210,660,277
8,202000,3,8161,2336,937,323,169,425,291,191
9,202000,3,31705,9815,3711,2385,639,1734,613,733
10,202000,3,4061,748,193,117,101,162,82,93
11,202000,3,12749,4469,1517,1238,226,526,509,453
12,202000,3,1782,253,64,20,54,80,15,20
13,202000,3,5997,1250,515,199,122,301,56,57
14,202000,3,12726,3663,632,1097,361,798,364,411
15,202000,3,11909,3395,1267,806,200,458,457,207
16,202000,3,7131,1629,451,249,202,492,86,149
2,202100,3,15997,4092,1480,1032,251,411,383,535
1,202100,3,11564,3568,1427,944,168,394,385,250
3,202100,3,16146,5465,1380,1510,161,537,1300,577
4,202100,3,15602,4596,1156,1190,290,429,676,855
5,202100,3,3919,758,157,282,58,69,63,129
6,202100,3,33188,8231,2497,1793,360,1080,1850,651
7,202100,3,23694,6115,1985,1624,392,961,730,423
8,202100,3,9566,2344,1021,324,143,303,341,212
9,202100,3,33339,8804,3747,1836,646,1179,678,718
10,202100,3,4479,733,203,95,125,112,97,101
11,202100,3,13630,4317,1598,945,172,510,582,510
12,202100,3,2403,293,69,35,72,82,19,16
13,202100,3,7153,1281,463,187,158,302,81,90
14,202100,3,13908,3552,888,849,335,503,378,599
15,202100,3,12907,3549,1533,768,182,370,501,195
16,202100,3,7623,1480,500,161,174,302,137,206
2,202200,3,15608,3524,1299,893,188,260,317,567
1,202200,3,11595,3073,1082,801,182,313,387,308
3,202200,3,16887,5174,1184,1326,159,481,1306,718
4,202200,3,16945,4585,1191,1144,248,401,771,830
5,202200,3,3968,677,120,237,67,73,49,131
6,202200,3,35575,8927,2991,1830,255,798,2298,755
7,202200,3,24078,5572,1674,1502,336,807,824,429
8,202200,3,11170,2173,954,295,140,247,334,203
9,202200,3,33576,7601,3195,1541,590,909,706,660
10,202200,3,4673,684,200,95,114,76,84,115
