alcaldia_id,tiempo_id,delito_subtipo_id,fuente_datos_id,total_delitos,registros_con_coordenadas,latitud_promedio,longitud_promedio
3,202401,3,3,16,16,19.38491096466605,-99.15677153569467
3,202401,2,3,92,92,19.38067042908097,-99.16355362630532
3,202401,1,3,86,86,19.381160288820897,-99.15526283594356
3,202401,6,3,86,86,19.373581459888737,-99.16639057837142
3,202401,5,3,168,168,19.383376637556182,-99.15596991436333
3,202401,4,3,40,40,19.38342750050221,-99.16350819348708
4,202401,7,3,862,858,19.326038835731183,-99.14778232650184
4,202401,3,3,32,32,19.32929852682751,-99.1449217337286
4,202401,2,3,74,74,19.324635813500823,-99.15827620145924
4,202401,1,3,89,89,19.32577486328988,-99.14853047163272
4,202401,6,3,44,44,19.32873011570651,-99.15385617093078
4,202401,5,3,71,71,19.336816479940865,-99.14813460712568
4,202401,4,3,21,20,19.32829457757774,-99.14760597849288
5,202401,7,3,257,256,19.358032630132843,-99.2897835314745
5,202401,3,3,4,4,19.355190831271525,-99.27763103501393
5,202401,2,3,33,33,19.36671788959581,-99.27574356669314
5,202401,1,3,13,13,19.357919767176075,-99.29160989541865
5,202401,6,3,7,7,19.363650577305844,-99.28398176274948
5,202401,5,3,12,12,19.36227504465373,-99.27974427086336
5,202401,4,3,4,4,19.3437733166501,-99.30481625507102
6,202401,7,3,1850,1796,19.43131266064471,-99.1483916290955
6,202401,3,3,27,27,19.435848016361547,-99.1481660240486
6,202401,2,3,138,138,19.43224841006683,-99.14880191998247
6,202401,1,3,235,234,19.43175343882831,-99.14683475811331
6,202401,6,3,51,51,19.422717475954105,-99.16228778900854
6,202401,5,3,231,231,19.423438561330062,-99.1527795032953
6,202401,4,3,40,40,19.42972180066688,-99.15271199985058
7,202401,7,3,1466,1433,19.49457628466685,-99.11307259283672
7,202401,3,3,31,31,19.48420771148873,-99.11230713477649
7,202401,2,3,120,118,19.4847697862502,-99.11545570399224
7,202401,1,3,76,75,19.489956174444902,-99.11506490306589
7,202401,6,3,34,34,19.49166605109834,-99.11761498228908
7,202401,5,3,97,97,19.48594150402758,-99.1128116158766
7,202401,4,3,48,46,19.49092349131635,-99.11154853460074
8,202401,7,3,624,620,19.395563070514235,-99.09496247670066
8,202401,3,3,10,10,19.39066608354463,-99.08586132200035
8,202401,2,3,22,22,19.395718364314043,-99.08703467274655
8,202401,1,3,47,47,19.3941069882633,-99.09510558832544
8,202401,6,3,24,24,19.397919241141874,-99.09073137754469
8,202401,5,3,49,49,19.39492381739584,-99.10629505956564
8,202401,4,3,28,27,19.39641393965212,-99.09997712813808
9,202401,7,3,1960,1913,19.350021723051483,-99.05913807540698
9,202401,3,3,41,40,19.347722548148944,-99.05320707751665
9,202401,2,3,114,114,19.36005262273644,-99.066002362379
9,202401,1,3,180,177,19.353598220561903,-99.05168854332037
9,202401,6,3,46,46,19.35268897677988,-99.05297973716507
9,202401,5,3,44,44,19.357660312812715,-99.07369347295236
9,202401,4,3,63,63,19.352242266421133,-99.05056542048436
10,202401,7,3,305,304,19.30956633685889,-99.24489395911937
10,202401,3,3,16,16,19.313327451437445,-99.2426773467582
10,202401,2,3,5,5,19.3052617894944,-99.24683884795624
10,202401,1,3,14,14,19.31472855515409,-99.24175201490388
10,202401,6,3,10,10,19.318317554967443,-99.2309269750994
10,202401,5,3,8,8,19.31851672689448,-99.2383960462094
10,202401,4,3,7,6,19.324791673371035,-99.23311743146456
11,202401,7,3,706,701,19.43481282482029,-99.19173447570722
11,202401,3,3,6,6,19.43901961164621,-99.19866135997464
11,202401,2,3,79,79,19.43409004034729,-99.19866621343068
11,202401,1,3,81,77,19.43951167892823,-99.1907651767362
11,202401,6,3,53,53,19.43212499568402,-99.19591449283456
11,202401,5,3,62,62,19.4261917791512,-99.1921431134101
11,202401,4,3,30,28,19.42786176891077,-99.19164881567372
12,202401,7,3,167,163,19.1978546980228,-99.02673962006416
12,202401,3,3,4,4,19.1941677941323,-99.03810918506184
12,202401,2,3,2,2,19.19181657060025,-99.0144890899356
12,202401,1,3,1,1,19.2099221497671,-98.9692465997665
12,202401,6,3,1,1,19.1918071298341,-99.02074742
12,202401,5,3,1,1,19.1917600211671,-99.020495829723
12,202401,4,3,4,4,19.201064648995278,-99.0258475075663
13,202401,7,3,492,489,19.283307937356117,-99.02232175411392
13,202401,3,3,12,12,19.277279951658752,-99.01772708077156
13,202401,2,3,17,17,19.289551605073516,-99.0314240970016
13,202401,1,3,41,40,19.28458935872312,-99.02016355945987
13,202401,6,3,4,4,19.276213559124123,-99.00572363260824
13,202401,5,3,9,9,19.280849811942844,-99.02447111221989
13,202401,4,3,10,10,19.28523653254236,-99.02155631491442
14,202401,7,3,925,920,19.27210267789326,-99.17670755193132
14,202401,3,3,36,36,19.268529640751524,-99.17757261939671
14,202401,2,3,84,84,19.28330147799763,-99.17282061018796
14,202401,1,3,73,72,19.28104264997428,-99.17466364121384
14,202401,6,3,53,53,19.278475548361047,-99.16046556230256
14,202401,5,3,24,24,19.28077351061858,-99.17429735701468
14,202401,4,3,32,31,19.285199487436213,-99.1823098802964
15,202401,7,3,751,748,19.430545415652727,-99.10191353128616
15,202401,3,3,11,11,19.423085727104382,-99.0928951372873
15,202401,2,3,44,44,19.42321933191696,-99.1015529768477
15,202401,1,3,65,64,19.42548318296279,-99.09974306330702
15,202401,6,3,16,16,19.42537643429716,-99.10099112684505
15,202401,5,3,77,77,19.423897721931148,-99.11124225645442
15,202401,4,3,27,23,19.427639351121385,-99.09444387562908
16,202401,7,3,500,496,19.25350959338057,-99.09951094637262
16,202401,3,3,10,10,19.25046872972927,-99.09222636692168
16,202401,2,3,12,12,19.254434952941764,-99.08287515739586
16,202401,1,3,26,26,19.26173539481801,-99.09385527733887
16,202401,6,3,24,24,19.269226225532865,-99.1174317978656
16,202401,5,3,6,6,19.25535696988565,-99.10479482670884
16,202401,4,3,9,9,19.26254446965182,-99.09350042765873
2,202402,7,3,938,926,19.36061471730613,-99.22072037423642
2,202402,3,3,10,10,19.35955968841078,-99.21482489900652
2,202402,2,3,65,65,19.36009396178233,-99.21288425323615
2,202402,1,3,109,109,19.36708373758251,-99.21464898614344
2,202402,6,3,40,40,19.358465197583705,-99.21853479599989
2,202402,5,3,25,25,19.355122827164813,-99.21772040640856
2,202402,4,3,6,6,19.37047251816715,-99.21557520166655
1,202402,7,3,537,537,19.481372151235107,-99.18304783998276
1,202402,3,3,12,12,19.48409904233326,-99.19003345416654
1,202402,2,3,83,83,19.484326814291137,-99.181708199277
1,202402,1,3,28,28,19.48556138054762,-99.18437072928565
1,202402,6,3,28,28,19.48239668101312,-99.18024621037384
1,202402,5,3,47,47,19.47472429586029,-99.17700861766852
1,202402,4,3,17,17,19.48214136277448,-99.18692967529402
3,202402,7,3,886,885,19.382169680279805,-99.16261296337797
3,202402,3,3,9,9,19.3804111365002,-99.15045627222216
3,202402,2,3,131,131,19.381331615940507,-99.1643078203816
3,202402,1,3,82,81,19.38044179481908,-99.16241378901702
3,202402,6,3,83,83,19.376424560315545,-99.16683832421678
3,202402,5,3,164,164,19.383658676987388,-99.15555793463744
3,202402,4,3,18,18,19.384037889278066,-99.16218121777769
4,202402,7,3,939,931,19.326281224356112,-99.14830123817408
4,202402,3,3,15,15,19.322455159833694,-99.14506629599992
4,202402,2,3,96,96,19.32682380038378,-99.15277527541862
4,202402,1,3,81,79,19.32508660641604,-99.14626035177209
4,202402,6,3,42,42,19.33157409712869,-99.14712441118364
4,202402,5,3,69,69,19.338001847080115,-99.14706634652164
4,202402,4,3,23,23,19.331591674616373,-99.14640125695642
5,202402,7,3,256,255,19.35481638607816,-99.29237305708162
5,202402,3,3,3,3,19.37597195316684,-99.26935888999984
5,202402,2,3,24,24,19.36368738941705,-99.27872416041652
5,202402,1,3,4,4,19.358246812333974,-99.29747582499984
5,202402,6,3,3,3,19.3656893865002,-99.27395634666652
5,202402,5,3,4,4,19.35762958983408,-99.29152764249986
5,202402,4,3,4,4,19.3571768599543,-99.2917495391604
6,202402,7,3,1880,1830,19.43181159239304,-99.14793377015724
6,202402,3,3,21,21,19.43120830173822,-99.14570397761896
6,202402,2,3,149,149,19.429057041683738,-99.14854741503191
6,202402,1,3,213,211,19.429616269195133,-99.1477959892414
6,202402,6,3,48,47,19.42193445995104,-99.1579330140392
6,202402,5,3,206,206,19.427045345537444,-99.15250094582468
6,202402,4,3,52,52,19.43210751194879,-99.15285576557685
7,202402,7,3,1390,1368,19.49490802110123,-99.11396576186266
7,202402,3,3,36,36,19.495581806777764,-99.11764162083328
7,202402,2,3,107,107,19.484085211982823,-99.11514233401864
7,202402,1,3,90,88,19.488081030628745,-99.11389941772718
7,202402,6,3,33,33,19.48579080434705,-99.12173469394313
7,202402,5,3,84,84,19.486436477571388,-99.11588270476184
7,202402,4,3,46,46,19.493558933528924,-99.11371079347818
8,202402,7,3,738,736,19.39659107743484,-99.09418614490352
8,202402,3,3,4,4,19.3955023473337,-99.10598071499996
8,202402,2,3,22,22,19.396631031595945,-99.09511292814818
8,202402,1,3,56,56,19.396195986269856,-99.09663387804116
8,202402,6,3,24,24,19.39590157951381,-99.08729788835056
8,202402,5,3,27,27,19.396022826870624,-99.09987615592588
8,202402,4,3,24,23,19.39726858953966,-99.09264208172296
9,202402,7,3,1936,1906,19.348752186257716,-99.0577063197112
9,202402,3,3,34,34,19.3515035710443,-99.06511974179794
9,202402,2,3,96,96,19.360452079318808,-99.072307787819
9,202402,1,3,179,179,19.355109019567408,-99.05786722927172
9,202402,6,3,38,38,19.366369104204875,-99.0611342752535
9,202402,5,3,41,41,19.353911149311514,-99.06439653513245
9,202402,4,3,67,67,19.353904191195777,-99.05320775324488
10,202402,7,3,293,288,19.311621833241045,-99.24527851620714
10,202402,3,3,12,12,19.31111060650052,-99.2470212883332
10,202402,2,3,13,13,19.31953601829534,-99.2341352330768
10,202402,1,3,15,15,19.313242908500467,-99.2394805793332
10,202402,6,3,12,12,19.30765248418121,-99.2445066350162
10,202402,5,3,7,7,19.3200464398338,-99.22790212285702
10,202402,4,3,7,7,19.307324208405284,-99.24803721142844
11,202402,7,3,789,787,19.432392233451345,-99.19171978074328
11,202402,3,3,12,12,19.45065410168398,-99.18887900415768
11,202402,2,3,68,68,19.433158239059797,-99.20047045587744
11,202402,1,3,82,82,19.430358359946396,-99.19090497097142
11,202402,6,3,61,61,19.43554147311213,-99.19265675704908
11,202402,5,3,42,42,19.430062478311854,-99.1901049726078
11,202402,4,3,16,16,19.43307048920848,-99.1905386693749
12,202402,7,3,174,172,19.19531710590455,-99.02633370547326
12,202402,3,3,2,2,19.2204640798342,-98.993292065
