alcaldia_key,alcaldia_nombre,alcaldia_id,anio,tiempo_id,total_delitos_fgj,total_robos_patrimoniales,total_no_robos_patrimoniales,share_robos_patrimoniales_sobre_total_delitos
IZTAPALAPA,Iztapalapa,9,2024,202400,28698,5612,23086,0.19555369712175064
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2024,202400,4444,714,3730,0.16066606660666066
MIGUEL HIDALGO,Miguel Hidalgo,11,2024,202400,12386,3487,8899,0.28152753108348133
MILPA ALTA,Milpa Alta,12,2024,202400,2353,198,2155,0.08414789630259244
TLAHUAC,Tlahuac,13,2024,202400,6765,1020,5745,0.15077605321507762
TLALPAN,Tlalpan,14,2024,202400,14067,3309,10758,0.23523139262102793
VENUSTIANO CARRANZA,Venustiano Carranza,15,2024,202400,12084,2669,9415,0.22087057265806023
XOCHIMILCO,Xochimilco,16,2024,202400,7048,1160,5888,0.16458569807037457
ALVARO OBREGON,Alvaro Obregon,2,2025,202500,785,229,556,0.2917197452229299
AZCAPOTZALCO,Azcapotzalco,1,2025,202500,545,187,358,0.3431192660550459
BENITO JUAREZ,Benito Juarez,3,2025,202500,831,327,504,0.3935018050541516
COYOACAN,Coyoacan,4,2025,202500,854,321,533,0.3758782201405152
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2025,202500,216,43,173,0.19907407407407407
CUAUHTEMOC,Cuauhtemoc,6,2025,202500,1790,610,1180,0.3407821229050279
GUSTAVO A MADERO,Gustavo A Madero,7,2025,202500,1190,265,925,0.22268907563025211
IZTACALCO,Iztacalco,8,2025,202500,637,129,508,0.20251177394034536
IZTAPALAPA,Iztapalapa,9,2025,202500,1718,400,1318,0.23282887077997672
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2025,202500,229,40,189,0.17467248908296942
MIGUEL HIDALGO,Miguel Hidalgo,11,2025,202500,684,235,449,0.3435672514619883
MILPA ALTA,Milpa Alta,12,2025,202500,107,14,93,0.1308411214953271
TLAHUAC,Tlahuac,13,2025,202500,410,70,340,0.17073170731707318
TLALPAN,Tlalpan,14,2025,202500,790,198,592,0.25063291139240507
VENUSTIANO CARRANZA,Venustiano Carranza,15,2025,202500,733,155,578,0.21145975443383355
XOCHIMILCO,Xochimilco,16,2025,202500,384,89,295,0.23177083333333334
