alcaldia_key,alcaldia_nombre,alcaldia_id,anio,mes,tiempo_id,subtipo_robo_patrimonial,total_delitos,registros_con_coordenadas,latitud_promedio,longitud_promedio
AZCAPOTZALCO,Azcapotzalco,1,2001,2,200102,OTRO,1,1,19.46687,-99.18656
AZCAPOTZALCO,Azcapotzalco,1,2001,2,200102,ROBO_A_TRANSEUNTE,1,1,19.47511,-99.1488
AZCAPOTZALCO,Azcapotzalco,1,2001,2,200102,ROBO_DE_VEHICULO,1,1,19.51165,-99.2076
BENITO JUAREZ,Benito Juarez,3,2001,2,200102,OTRO,1,1,19.37688,-99.14422
COYOACAN,Coyoacan,4,2001,2,200102,OTRO,1,1,19.30552,-99.18708
CUAUHTEMOC,Cuauhtemoc,6,2001,2,200102,OTRO,2,1,19.4260802719257,-99.1466315512948
GUSTAVO A MADERO,Gustavo A Madero,7,2001,2,200102,OTRO,1,1,19.5572726627,-99.1351053825
IZTACALCO,Iztacalco,8,2001,2,200102,OTRO,1,1,19.3854,-99.11714
IZTAPALAPA,Iztapalapa,9,2001,2,200102,OTRO,3,3,19.342055998316834,-99.05076854917668
IZTAPALAPA,Iztapalapa,9,2001,2,200102,ROBO_A_TRANSEUNTE,1,1,19.36959,-99.02621
MIGUEL HIDALGO,Miguel Hidalgo,11,2001,2,200102,OTRO,1,0,\N,\N
XOCHIMILCO,Xochimilco,16,2001,2,200102,OTRO,2,2,19.283457147117048,-99.1078169718387
AZCAPOTZALCO,Azcapotzalco,1,2001,3,200103,ROBO_A_TRANSEUNTE,1,1,19.47424,-99.19376
BENITO JUAREZ,Benito Juarez,3,2001,3,200103,OTRO,3,3,19.3884682456073,-99.14771147737322
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2001,3,200103,OTRO,1,1,19.3821787298334,-99.2590633699999
CUAUHTEMOC,Cuauhtemoc,6,2001,3,200103,OTRO,3,3,19.4286349180919,-99.14050072347142
CUAUHTEMOC,Cuauhtemoc,6,2001,3,200103,ROBO_A_TRANSEUNTE,1,1,19.44533,-99.13925
GUSTAVO A MADERO,Gustavo A Madero,7,2001,3,200103,OTRO,2,2,19.484567049982353,-99.1027370050223
IZTAPALAPA,Iztapalapa,9,2001,3,200103,OTRO,3,3,19.333741537751035,-99.0627456421641
IZTAPALAPA,Iztapalapa,9,2001,3,200103,ROBO_A_TRANSEUNTE,1,1,19.36427,-99.0946
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2001,3,200103,OTRO,1,1,19.3186909781451,-99.2528293164482
MIGUEL HIDALGO,Miguel Hidalgo,11,2001,3,200103,OTRO,1,1,19.442059594453,-99.1691500765353
MILPA ALTA,Milpa Alta,12,2001,3,200103,OTRO,1,1,19.21055,-98.97269
TLAHUAC,Tlahuac,13,2001,3,200103,ROBO_A_CASA_HABITACION,1,1,19.29171,-99.03727
AZCAPOTZALCO,Azcapotzalco,1,2001,4,200104,OTRO,1,0,\N,\N
BENITO JUAREZ,Benito Juarez,3,2001,4,200104,OTRO,1,1,19.36556,-99.13849
